RCPT,RCRK
IMP1,VTP1,IMP2,VTP2,IMP3,BSAA,BSBA,BSCA,PYEA,BSFA,BSGA,PLHA,PRHA,PTHA,PFNA,PLNA,BSPA,BSSA,BSTA,PSTA,BSWA,PLBB,PRBB,RCCB,PLCB,PRCB,PLFB,PRFB,PKAC,RPAC,PACC,PMPC,PPRC,RCHD,RPHD,PUND,PSPD,PGHE,PPOE,PBRE,PEYE,TRAF,PPBF,PSTG,PBSH,PLSH,PRSH,RATH,PCTH,PLTH,PRTH,RIWH,PAGI,PRSI,PINJ,PBAK,PTAK,PPBK,PRBK,PNEK,PFLK,PFMK,RCRK,PTRK,PBTK,PTAL,PIBL,PLEL,PREL,PLKL,PSPL,PLSL,RCCM,PHLM,PHAN,PTEN,PLKN,PRKN,PLSO,RPGP,PTHP,PJMP,PTYP,PCAR,PSAR,PTAR,RICR,PJER,PLKR,RCPR,PKPR,PSPR,PLSR,PRTR,PSTR,POVR,PAWR,PLWR,PRWR,PRAS,PPBS,PRBS,PDIS,PVIS,RELS,PRNS,PPOS,PPRS,PYRS,BSAT,STAT,BSBT,SPCT,BSCT,BSFT,PHGT,BSGT,PWGT,PHIT,BSPT,PKRT,BSST,BSTT,BSWT,PBCV,PMCV,PZCV,PFMV,PJMV,PPMV,PSMV,RCOV,PESV,PBFW,PLHW,PLTW,
12,0,11,0,9,5,10,7,0,10,6,0,0,85,David,Harris,5,10,10,84,0,0,0,5,0,0,0,0,40,0,90,0,36,10814,0,0,87,8,40,0,1,84,40,0,38,3,3,1,82,2,2,0,89,874,87,0,40,40,40,0,1,1,1,44,62,0,20,0,0,0,5,0,0,2,0,0,2,2,0,18,89,78,0,72,57,0,0,1,0,1,40,5,0,85,61,81,57,8,2,0,39,39,5,0,81,1,0,24,41,4,42,6,69,29,0,75,0,57,35,5,40,10,10,0,68,25,19,25,81,24,87,81,37,40,0,1,
8,0,4,0,13,6,10,7,0,10,6,3,3,40,Trey,Rhodes,5,10,10,84,0,0,0,5,2,2,0,0,40,0,94,0,80,8009,0,0,88,128,40,0,0,68,31,0,44,3,3,1,81,1,1,0,84,2519,82,0,64,40,40,0,0,5,2,60,64,0,22,9,9,0,0,10,0,2,0,1,1,1,0,18,40,78,0,92,55,0,0,0,0,2,40,0,10,86,60,81,62,1,1,0,31,34,4,0,81,1,3,74,49,0,31,6,76,29,0,75,0,51,42,5,65,10,10,0,86,74,78,31,67,32,69,80,55,34,0,0,
13,0,9,0,12,6,10,7,0,10,6,3,3,40,Casey,Lacey,5,10,10,90,0,3,3,5,0,0,0,0,40,0,92,0,35,1136,0,0,94,165,40,0,0,67,20,0,36,3,3,0,77,1,1,0,77,1333,84,1,40,40,40,0,0,16,3,42,53,0,20,0,0,0,0,4,0,2,0,1,1,1,0,3,40,81,0,84,47,0,0,1,0,1,40,0,4,86,54,78,62,0,0,0,20,25,3,0,73,1,3,33,50,0,4,6,68,29,0,72,0,39,37,5,65,10,10,0,78,29,29,33,69,30,64,80,46,26,0,0,
4,0,5,0,10,10,10,4,0,10,6,3,3,40,Brandon,Dukes,8,6,10,89,0,0,0,5,2,2,0,0,40,0,93,0,36,5394,0,0,92,1,40,0,0,71,24,0,40,3,3,0,77,1,1,0,85,1222,86,1,41,40,40,0,0,31,4,45,51,0,19,15,15,0,0,0,0,3,0,1,1,1,0,3,40,82,0,80,50,0,0,1,0,2,40,0,0,86,57,79,59,0,0,0,24,25,2,0,76,1,3,36,50,5,21,10,70,29,26,71,10,21,37,0,66,10,10,0,75,32,30,31,70,30,64,80,44,25,0,1,
6,0,0,0,9,6,10,7,0,10,6,3,3,81,Dwight,Pettway,5,10,10,84,0,0,0,5,0,0,0,0,40,0,90,0,49,10832,0,0,87,8,40,0,0,76,41,0,17,3,3,1,80,2,2,0,86,309,85,0,52,41,42,0,0,32,5,71,77,0,35,9,9,0,0,0,0,3,0,2,1,1,0,18,86,81,0,79,69,0,0,1,0,3,40,0,0,77,62,80,64,10,10,0,41,41,1,0,72,2,1,14,44,0,42,6,80,29,0,72,0,55,42,5,60,10,10,0,71,24,18,19,86,34,79,80,86,41,0,0,
5,0,12,0,9,8,10,5,0,10,7,3,3,40,Wallace,Bryant,7,8,7,84,0,3,3,5,2,2,0,0,40,0,94,0,61,2220,0,0,90,213,40,0,0,72,31,0,51,3,3,0,80,1,1,0,85,2315,82,1,53,40,40,0,0,0,6,59,64,0,22,0,0,0,0,12,0,0,0,1,1,1,0,3,40,78,0,92,55,0,0,0,0,3,40,0,12,86,48,82,61,0,0,0,30,35,5,0,79,1,3,49,49,0,8,6,72,30,0,76,0,34,48,0,65,0,1,0,86,68,68,42,66,42,69,79,55,34,0,1,
4,0,12,0,10,10,10,4,0,10,6,3,3,50,Nick,Mack,8,6,10,82,0,0,0,5,1,1,0,0,40,0,89,0,79,4429,0,0,89,167,40,0,0,61,44,0,42,3,3,1,67,2,2,0,86,2058,83,0,63,45,40,0,0,36,7,82,74,0,45,16,16,0,0,12,0,3,0,1,1,1,0,18,49,77,0,74,80,0,0,0,0,4,40,0,12,75,62,78,65,3,3,0,45,36,2,0,70,1,1,85,46,5,17,10,81,29,26,69,10,50,40,0,65,10,10,0,74,81,84,30,84,32,82,79,67,35,0,0,
10,0,5,0,4,6,10,7,0,10,6,3,3,56,Bryan,Gschwend,5,10,10,87,0,2,2,5,3,3,0,0,40,0,81,0,43,1184,0,0,88,164,40,0,0,58,43,0,16,4,4,0,64,2,2,0,83,2005,86,0,47,43,40,0,0,18,8,69,80,0,39,0,0,0,0,10,0,0,0,1,1,1,0,1,59,79,0,77,70,0,0,0,0,1,40,0,10,63,61,78,66,2,2,0,43,39,4,0,71,1,1,14,40,0,4,6,61,29,0,72,0,45,40,5,61,10,10,0,76,25,20,19,82,34,78,79,83,39,0,0,
4,0,2,0,13,10,10,4,0,10,6,3,3,40,Cedric,Whitaker,8,6,10,76,0,0,0,5,3,3,0,0,40,0,94,0,36,5889,0,0,87,161,40,0,0,70,39,0,24,3,3,0,72,1,1,0,80,1927,78,0,40,40,40,0,0,0,9,52,64,0,19,0,0,0,0,0,0,2,0,0,1,1,0,3,40,83,0,93,46,0,0,1,0,4,40,0,0,84,47,76,62,0,0,0,39,22,5,1,80,1,3,24,45,5,23,10,91,29,26,75,10,42,37,0,66,10,10,0,74,20,20,21,46,32,43,79,64,23,0,0,
5,0,4,0,10,5,10,2,0,7,8,3,3,40,Terrell,Thompson,10,4,0,82,0,0,0,5,3,3,0,0,40,0,83,0,85,13056,0,0,77,164,40,0,1,57,39,0,84,3,3,0,55,2,2,0,67,976,88,0,87,40,40,1,0,16,10,39,43,0,27,9,9,0,0,10,0,0,0,2,1,1,0,10,40,78,0,53,28,0,0,0,0,1,40,0,10,24,74,81,48,0,0,0,40,40,4,0,58,3,15,79,68,5,51,26,22,10,11,74,9,71,85,8,49,4,10,0,18,72,76,70,32,68,21,84,25,39,0,0,
